chain_id,chain_name,product_group_ids,default_product_group_id
122854,KFC,"[6, 26]",6.0
159174,Pankoff Bakery,"[26, 27, 34, 52]",34.0
163522,kairolls,"[1, 2]",1.0
132946,ЛОСЬ и ЛОСОСЬ,"[2, 23, 26]",2.0
64426,Burger King,"[6, 26]",6.0
151994,Сытная Столовая,"[25, 30]",25.0
106522,Пиццуля,"[1, 42]",1.0
113578,Burger King,"[6, 26]",6.0
75910,in tempo,[1],1.0
121250,PeliBox,"[33, 34, 43, 47]",43.0
122318,Макдоналдс,"[6, 26]",6.0
157206,KFC,"[6, 26]",6.0
172730,Subway,[29],29.0
129642,Fettuccine pasticceria,"[1, 23]",23.0
124538,Макдоналдс,"[6, 26]",6.0
119610,KFC,"[6, 26]",6.0
70586,ШИКОТАН,"[1, 2, 36]",2.0
124566,Макдоналдс,"[6, 26]",6.0
52114,Гигант-суши,"[1, 2, 18]",2.0
163722,Провиант,[3],3.0
136742,Макдоналдс,"[6, 26]",6.0
150106,Чак-чак & Эчпочмак,"[24, 30]",30.0
157050,Семь Хлебов,"[33, 43]",43.0
120978,My food,"[33, 34, 48]",33.0
117706,Макдоналдс,"[6, 26]",6.0
125394,KFC,"[6, 26]",6.0
166714,Порт-Брю,"[23, 29, 34]",34.0
175930,Матрёшка,[43],43.0
175030,Kuzina,[27],27.0
168414,SHAURMEALS,"[19, 26]",19.0
127978,Southern Fried Chicken Pizza & Sushi,"[1, 6, 18, 26]",6.0
152914,Doner Master,[19],19.0
146002,Хан Буз,[18],18.0
145074,Пыл да Жар,"[3, 30]",30.0
157138,Корица,[25],25.0
95438,Hot Lavash,[1],1.0
123950,Foodtaxi,"[1, 2]",1.0
8950,IL Патио,"[1, 23, 42, 51]",42.0
160454,Фобошная Кофешная,[39],39.0
104986,Мост,"[3, 25, 33, 43]",43.0
154590,Русская трапеза,"[25, 43]",43.0
160478,Spot & Choo`s,[6],6.0
59534,ТУТ ВАМ ВОТ,"[18, 24, 25]",18.0
116058,ПАЛКИ-СКАЛКИ,"[1, 2, 6, 18]",2.0
136994,GARDEN COFFEE,[34],34.0
137418,Самокат. Продукты,,0.0
124738,Макдоналдс,"[6, 26]",6.0
108642,Burger King,"[6, 26]",6.0
163186,MANGAL,"[5, 19]",19.0
114878,Макдоналдс,"[6, 26]",6.0
117102,Макдоналдс,"[6, 26]",6.0
166586,Хинкальная Кацо,"[21, 37]",37.0
168706,КишМиш,[44],44.0
40454,Антрекот,"[6, 25]",25.0
48146,Перчини,"[1, 23, 42]",1.0
119590,KFC,"[6, 26]",6.0
131210,Подорожник,"[19, 26, 34, 51]",26.0
117814,Кухня на районе,"[25, 33]",25.0
133522,Самокат. Продукты,,0.0
129286,Макдоналдс,"[6, 26]",6.0
112778,ШашлыкоFF,"[5, 26, 34]",5.0
125490,Макдоналдс,"[6, 26]",6.0
97818,Вилка Ложка,"[30, 33, 34, 43]",43.0
16934,Шашлык online,"[5, 18, 25, 27]",5.0
45490,Ваши Суши,"[1, 2, 18, 26]",2.0
165374,Шеф,[25],25.0
145646,BAO,[18],18.0
134858,BELOK,"[19, 26]",26.0
108610,Burger King,"[6, 26]",6.0
157802,Хинкальная Кацо,"[21, 37]",21.0
164186,Burger King,"[6, 26]",6.0
125558,Макдоналдс,"[6, 26]",6.0
